position,SNLY_21,SNLY_22,SNLY_23,SNLY_24,SNLY_25,SNLY_26,SNLY_27,SNLY_28,SNLY_29,SNLY_30,SNLY_31,SNLY_32,SNLY_33,SNLY_34,SNLY_35,SNLY_36,SNLY_37,SNLY_38,SNLY_39,SNLY_40
-850,-0.301685,-0.527220,-0.442809,-0.171086,-0.075121,0.000000,0.000000,0.000000,0.000000,0.000000,0.311569,0.526771,0.444079,0.174062,0.076942,0.000000,0.000000,0.000000,0.000000,0.000000
-839,-0.300669,-0.516760,-0.457204,-0.177190,-0.074468,0.000000,0.000000,0.000000,0.000000,0.000000,0.308244,0.522275,0.450454,0.182855,0.083022,0.000000,0.000000,0.000000,0.000000,0.000000
-827,-0.298140,-0.503268,-0.473362,-0.184297,-0.074551,0.000000,0.000000,0.000000,0.000000,0.000000,0.302001,0.516571,0.459796,0.191986,0.088663,0.000000,0.000000,0.000000,0.000000,0.000000
-816,-0.290817,-0.490230,-0.490747,-0.191194,-0.075626,0.000000,0.000000,0.000000,0.000000,0.000000,0.293261,0.505959,0.472232,0.201315,0.092866,0.000000,0.000000,0.000000,0.000000,0.000000
-804,-0.274944,-0.471672,-0.512438,-0.200189,-0.078429,0.000000,0.000000,0.000000,0.000000,0.000000,0.276840,0.488245,0.493453,0.210177,0.094685,0.000000,0.000000,0.000000,0.000000,0.000000
-793,-0.250782,-0.447809,-0.535015,-0.210643,-0.083273,0.000000,0.000000,0.000000,0.000000,0.000000,0.253836,0.462685,0.519997,0.218938,0.094013,0.000000,0.000000,0.000000,0.000000,0.000000
-781,-0.216906,-0.415764,-0.557753,-0.224909,-0.089897,0.000000,0.000000,0.000000,0.000000,0.000000,0.222614,0.426143,0.549904,0.231753,0.093121,0.000000,0.000000,0.000000,0.000000,0.000000
-770,-0.184822,-0.380548,-0.572093,-0.244916,-0.097830,0.000000,0.000000,0.000000,0.000000,0.000000,0.191349,0.386553,0.574151,0.249114,0.093995,0.000000,0.000000,0.000000,0.000000,0.000000
-758,-0.152215,-0.337625,-0.580200,-0.276305,-0.107322,0.000000,0.000000,0.000000,0.000000,0.000000,0.159559,0.339061,0.588493,0.279112,0.100758,0.000000,0.000000,0.000000,0.000000,0.000000
-746,-0.126445,-0.290365,-0.575606,-0.321059,-0.118710,0.000000,0.000000,0.000000,0.000000,0.000000,0.132477,0.290330,0.587037,0.321664,0.114855,0.000000,0.000000,0.000000,0.000000,0.000000
-735,-0.107523,-0.245945,-0.559600,-0.369405,-0.131536,0.000000,0.000000,0.000000,0.000000,0.000000,0.110848,0.246287,0.572097,0.367260,0.132904,0.000000,0.000000,0.000000,0.000000,0.000000
-723,-0.088996,-0.199402,-0.530541,-0.422912,-0.148923,0.000000,0.000000,0.000000,0.000000,0.000000,0.088952,0.201614,0.542740,0.418385,0.155350,0.000000,0.000000,0.000000,0.000000,0.000000
-712,-0.071713,-0.161622,-0.492594,-0.470318,-0.169028,0.000000,0.000000,0.000000,0.000000,0.000000,0.069348,0.165975,0.504835,0.462816,0.179023,0.000000,0.000000,0.000000,0.000000,0.000000
-700,-0.051065,-0.129666,-0.444216,-0.508699,-0.193999,-0.021951,0.000000,0.000000,0.000000,0.000000,0.047952,0.135908,0.455743,0.502138,0.204746,0.019225,0.000000,0.000000,0.000000,0.000000
-689,-0.031178,-0.106801,-0.394601,-0.534523,-0.221654,-0.048916,0.000000,0.000000,0.000000,0.000000,0.029296,0.114804,0.404506,0.528943,0.231803,0.045364,0.000000,0.000000,0.000000,0.000000
-677,-0.012626,-0.088475,-0.339537,-0.549143,-0.257159,-0.081281,0.000000,0.000000,0.000000,0.000000,0.011563,0.096207,0.347594,0.548940,0.263934,0.076890,0.000000,0.000000,0.000000,0.000000
-666,0.000000,-0.076222,-0.289514,-0.551580,-0.297324,-0.107326,0.000000,0.000000,0.000000,0.000000,0.000000,0.082428,0.296386,0.554982,0.299547,0.106851,0.000000,0.000000,0.000000,0.000000
-654,0.000000,-0.067722,-0.245223,-0.540955,-0.344846,-0.126680,0.000000,0.000000,0.000000,0.000000,0.000000,0.070394,0.250647,0.549040,0.340684,0.133206,0.000000,0.000000,0.000000,0.000000
