85.1	813808	804305	812872	802804	803546	812351	804207	810189	802959	803262
85.1	815248	802711	812262	803359	804398	813687	804225	813483	804384	804475
85.1	816923	805085	813222	804992	804972	815200	804366	812133	803745	804062
85.1	814113	804475	814227	804021	803920	814590	804254	811297	803132	802657
85.1	814245	806818	812470	804967	804768	813843	804113	812815	803321	803396
85.1	815258	805651	813118	805340	805513	811524	802837	811347	801655	802265
85.1	815061	803539	813317	803691	803261	813271	805285	813503	805122	803933
85.1	813800	805262	813701	803751	806062	812245	803539	811155	804197	803440
85.1	815843	805838	815712	805518	806508	815331	803565	815035	804040	804261
85.1	815729	803785	814900	804883	805822	817506	804267	815225	804552	804623
85.1	817534	806898	816074	806203	805122	816465	805488	815291	805025	805248
85.1	816278	803015	814183	804587	803945	815808	802799	815135	803923	802988
85.1	816800	803751	814907	804849	803998	816954	803152	815578	804075	802838
85.1	817568	804163	814999	803762	802471	815888	802972	815784	805808	804599
85.1	817463	803817	815312	806042	804952	817055	802879	813607	802980	803353
85.1	816161	802980	812210	803894	803825	814468	804765	815787	804756	803626
85.1	819253	804735	818068	806005	804899	817906	803967	817880	805050	804210
85.1	815511	804502	816355	803694	803180	815033	804204	815836	805458	805246
85.1	815379	805920	815047	803530	804689	813561	803764	817153	803735	802154
85.1	814555	804277	816760	804168	803729	815212	805043	814745	804921	803852
85.1	819508	804277	813985	804973	805153	816124	805518	816020	803591	804238
85.1	818161	805860	817720	805793	804856	818268	804352	817246	804130	804034
85.1	817905	805848	814283	806323	806463	817595	804220	815383	804526	805673
85.1	817079	803971	817911	804144	804876	815785	804313	815802	802470	802424
85.1	815825	802069	815452	804737	803081	818068	803538	815902	803493	803661
85.1	819517	804146	818067	805591	805031	818565	803591	815489	803695	803112
85.1	818055	805308	817741	805982	805272	816842	801856	814820	804275	804069
85.1	817767	806349	817696	805018	804525	816069	802433	814640	804210	803771
85.1	819211	803656	813977	803764	804212	814570	802955	814850	802881	802904
85.1	817763	804647	817646	804439	806403	818793	803975	817218	804758	804475
85.1	819792	804676	815182	803768	806266	815404	805143	814319	803947	804897
85.1	817334	805021	814560	803337	804308	816886	804497	814215	803469	804106
85.1	815055	803359	814268	802332	803488	821074	804437	818587	806482	805613
85.11	817583	804555	818081	803745	803880	815170	801668	813765	801694	803133
85.11	821633	805740	816304	806645	806767	818106	804179	813376	804250	804928
85.11	815351	805581	815932	804920	804102	818004	803798	814146	801618	802145
85.11	817130	804258	817367	805727	805638	818980	805159	819983	804794	806416
85.11	816624	805282	816808	802651	803689	816211	804127	814491	802822	803827
85.11	819464	806548	816918	804775	804879	816554	804844	815681	805458	803687
85.11	818650	804522	818255	805105	805878	815554	804925	814160	803893	804051
85.11	818788	804401	815177	804028	805621	816323	804951	814309	803352	804693
85.11	814682	802793	813681	803270	801943	816290	803893	813726	803696	803443
85.11	817456	804639	816286	804862	805086	819758	804932	818051	804653	803789
85.11	821070	804700	815484	804080	805659	816663	804480	811824	803653	805640
85.11	816568	804398	812961	803758	804581	818154	804459	813666	805638	803433
85.11	816168	801347	812564	803380	803783	816682	803078	816066	803792	803204
85.11	817878	804305	819614	803228	803399	814143	802430	810859	802568	802804
85.11	817408	804219	815637	802834	803846	816483	804144	814281	802423	803743
